depth,#analyzed,#with_empty_sahab_report,#with_not_empty_sahab_report,#with_not_empty_sahab_states,#with_manipulated_diff,#with_diff_generated,#with_distinct_states_added,sahab_time,line_var_and_mapping_computation_time,diff_computation_time,ui_manipulation_time
0,310,0,297,217,237,237,214,150468.40740740742,34469.68518518518,8971.12962962963,34.370370370370374
1,272,0,261,228,180,180,171,237455.09259259258,31075.37037037037,20383.203703703704,33.96296296296296
2,157,0,148,129,84,84,81,501832.037037037,31164.537037037036,54810.92592592593,35.68518518518518
3,98,0,92,88,55,55,55,1744885.8333333333,31838.277777777777,295619.6296296296,38.22222222222222
Number of commits with reports: 54,0,0,0,0,0,0,0,0,0,0,0
